"year","nest","ring","sex","gps","age","bodymass","DateMito","TimeMito","CMR","OXPHOS","LEAK","ETS","FCR1","FCR2","FCR3","PFOA","PFHPS","PFNA","P37DMOA","PFOS","PFDA","PFUNA","PFDODA","FTS_10_2","PFTRIDA","PFTDA","PFHXS","PFDS","PFOSA","SUMPFAS","d13C","X.C","d15N","X.N","C_N","hg","Notes","d15N.Z","d13C.Z","age.Z","bodymass.Z","hg.Z","SUMPFAS.Z"
"2020","149_1","TL3458","Male","y",10,720,"8/7/2020","9:45:00 PM",426.5766667,317.3933333,109.1833333,672.8766667,0.255952427,0.162263515,0.633959666,7.43,0.48,9.55,0.02,105.31,3,26.2,9.66,3.23,11.4,3.5,5.63,0.46,6.76,192.63,-18.98,49.5,8.28,14.81,3.34,3.87,"",0.0131214388839262,0.0642071080462896,0.0225076804013701,1.84025094992197,-0.546315606826948,2.24956388153188
"2020","149_1","TH8796","Female","y",10,680,"8/7/2020","9:45:00 PM",428.6766667,252.3433333,176.3333333,632.3766667,0.411343437,0.278842251,0.677881853,1.46,0.04,2.53,0.02,39.85,1.64,10.98,3.07,1.37,4.71,2.08,1.62,0.25,3.58,73.2,-19.23,48.64,7.88,14.8,3.29,5.98,"",-0.669193383080238,-0.992365556006682,0.0225076804013701,1.20599710139874,0.564583394122447,-0.388277633012503
"2020","160_26","TL7364","Female","n",8,552,"8/9/2020","11:00:00 PM",375.5533333,267.8933333,107.66,500.74,0.286670335,0.215001797,0.749996672,1.99,0.04,0.1,0.02,43.82,0.73,11.33,4.11,0.04,3.54,0.84,0.1,0.38,6.97,74.01,-19.18,48.49,7.58,14.68,3.3,2.6,"",-1.18092949955336,-0.781051023196085,-0.562692010034254,-0.823615213875601,-1.21496097706663,-0.370387223343401
"2020","160_4","TH8831","Male","n",6,630,"8/10/2020","10:40:00 PM",366.8866667,235.41,131.4766667,614.8166667,0.358357713,0.213846946,0.596741576,0.95,0.04,1.54,0.02,35.93,2.19,15.29,11.38,3.1,22.25,4.88,2.08,0.54,3.56,103.75,-18.88,48.93,8.12,14.79,3.31,6.68,"",-0.25980448990174,0.486836173667484,-1.14789170046988,0.413179790744701,0.933128086380539,0.286477941544399
"2020","180_11","TL0313","Female","n",11,670,"8/19/2020","11:00:00 PM",346.7833333,235.3166667,111.4666667,518.6266667,0.321430288,0.214926601,0.668656966,0.1,0.04,1.3,0.02,29.62,0.02,7.13,2.34,0.04,2.22,0.8,0.1,0.16,0.02,43.91,-19.3,47.37,8.11,14.52,3.26,1.91,"",-0.276862360450844,-1.28820590194152,0.315107525619182,1.04743363926793,-1.57824074514961,-1.03520368141747
"2020","3_1","TL9714","Male","y",7,675,"8/10/2020","10:20:00 PM",413.2166667,245.4266667,167.79,648.6233333,0.406058162,0.258686346,0.637067224,2.27,0.04,3.56,0.02,74.69,2.74,22.56,7.17,1.83,13.34,2.65,0.1,0.19,4.37,135.53,-19.28,54.27,8.15,16.47,3.3,4.99,"",-0.208630878254426,-1.20368008881728,-0.855291855252066,1.12671537033334,0.0433559007860009,0.988400434487716
"2020","3_1","TL9678","Female","y",7,570,"8/10/2020","10:20:00 PM",448.6266667,270.9833333,177.6433333,587.1266667,0.395971409,0.302563899,0.764105417,1.8,0.04,2.29,0.22,36.56,0.02,10.58,3.6,2.25,4.48,0.68,0.1,0.25,5.81,68.68,-19.15,50.33,7.46,15.28,3.29,2.04,"",-1.38562394614261,-0.654262303509724,-0.855291855252066,-0.538200982040147,-1.50979673087311,-0.4881105363512
"2020","8_15","TL9701","Female","n",7,550,"8/9/2020","11:15:00 PM",438.4033333,267.2466667,171.1566667,444.4066667,0.390409136,0.385135236,0.986491352,1.45,0.04,1.93,0.02,22.37,0.82,5.49,1.92,0.04,3,1.4,0.1,0.02,2.62,41.22,-19.07,50.63,8.47,15.43,3.28,3.37,"",0.337220979316907,-0.31615905101278,-0.855291855252066,-0.855327906301762,-0.809561815582729,-1.0946175110593
"2020","8_16","TL5557","Female","n",9,522,"8/10/2020","11:50:00 PM",NA,NA,NA,NA,NA,NA,NA,1.11,0.04,1.6,0.02,21.89,0.02,6.66,2.92,0.04,5,1.51,0.1,0.02,2.86,43.79,-19,49.74,7.8,15.07,3.3,4.77,"Mito did not work",-0.805656347473071,-0.0203187050779464,-0.270092164816442,-1.29930560026802,-0.072472431066543,-1.03785411247956
"2020","8_3","TL0350","Female","n",11,570,"8/9/2020","11:40:00 PM",385.57,255.3766667,130.1933333,558.3233333,0.337664583,0.233186266,0.690585503,2.49,0.04,1.68,0.02,28.97,0.02,9.21,2.91,1.07,2.14,0.94,0.1,0.02,6.3,55.91,-19.18,47.66,7.42,14.38,3.31,2.65,"",-1.45385542833903,-0.781051023196085,0.315107525619182,-0.538200982040147,-1.18863635619105,-0.770160575208538
"2021","58","TL7417","Male","n",9,630,"8/3/2021","11:40:00 PM",284.045,219.7816667,64.26333333,407.4316667,0.226243494,0.157727881,0.697159851,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.96,48.37905877,7.85,14.72812374,3.284808006,5.902,"",-0.720366994727551,0.148732921170526,-0.270092164816442,0.413179790744701,0.523516985556545,NA
"2021","62","TH7478","Male","n",15,560,"7/28/2021","10:30:00 PM",373.0383333,223.04,149.9983333,573.9066667,0.40209898,0.261363636,0.649998258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.11,48.82345339,9.38,14.89425035,3.278006763,6.945,"",1.88948719928538,-0.485210677261252,1.48550690649043,-0.696764444170955,1.0726485770211,NA
"2021","62","TH8998","Female","n",13,590,"7/28/2021","10:30:00 PM",298.4783333,142.265,156.2133333,553.72,0.523365738,0.282116112,0.539041995,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.7,49.01742996,8.79,14.92437399,3.284387673,6.54,"",0.883072836888237,1.24756849178562,0.900307216054806,-0.221074057778531,0.859419147928921,NA
"2021","75","TL3360","Male","n",11,630,"7/29/2021","10:43:00 PM",270.575,123.6916667,146.8833333,329.8433333,0.542856263,0.445312421,0.820313684,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.07,47.50849041,9.37,14.51797755,3.272390403,6.901,"",1.87242932873628,-0.31615905101278,0.315107525619182,0.413179790744701,1.04948291065059,NA
"2021","79","TK7180","Female","n",14,600,"7/29/2021","10:58:00 PM",157.1916667,61.84666667,95.345,237.075,0.60655251,0.402172308,0.663046153,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.3,64.37289135,8.05,19.7776253,3.254834206,3.956,"",-0.379209583745467,-1.28820590194152,1.19290706127262,-0.062510595647723,-0.501037258920954,NA
"2021","92","TM1403","Female","n",6,562,"8/4/2021","11:33:00 PM",217.9466667,172.33,45.61666667,299.0433333,0.20930197,0.152541995,0.728812993,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.13,49.44472419,7.44,14.9228386,3.313359174,4.495391892,"",-1.41973968724082,-0.569736490385488,-1.14789170046988,-0.665051751744793,-0.217051517715739,NA
"2021","92","TL3569","Male","n",6,562,"8/1/2021","11:46:00 PM",180.7116667,87.87333333,92.83833333,276.5716667,0.513737353,0.335675503,0.653399059,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-18.84,47.97108213,8.29,14.640068,3.276698041,5.838,"",0.03017930943303,0.655887799915956,-1.14789170046988,-0.665051751744793,0.489821470835805,NA
"2021","129","TM1072","Male","n",7,655,"8/4/2021","12:30:00 PM",150.5133333,134.5933333,15.92,293.0666667,0.10577136,0.054322111,0.513580528,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,-19.06,47.68835493,7.89,14.20201129,3.357859247,3.285679724,"",-0.652135512531134,-0.273896144450654,-0.855291855252066,0.80958844607172,-0.853955801539211,NA
